央视频道,#genre#
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.65.175/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV1,http://39.134.64.87:6610/PLTV/88888888/224/3221226016/index.m3u8?IASHttpSessionId=
CCTV1,http://111.160.17.2:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?
CCTV1,http://222.174.239.62:352/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://39.170.52.236:808/hls/1/index.m3u8
CCTV1,http://58.254.14.232:808/hls/1/index.m3u8
CCTV1,http://123.10.76.29:808/hls/1/index.m3u8
CCTV1,http://36.32.174.67:60080/newlive/live/hls/1/live.m3u8
CCTV1,http://dassby.qqff.top:99/live/cctv1高清/index.m3u8
CCTV1,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=FifastbLive&Contentid=5000000001000004953&livemode=1&stbId=yu&mode=1
CCTV1,http://218.93.208.172:35455/migu/608807420.m3u8?migutoken=c1e47192e21ebd32f0cc762a6749923a27468f3c407786209ce921f54a3faab96bf61281f3baee22f2ea266b1ec7e46d7bdfab0916f461bf38474fe38d0bdb2dcc56ee56853b8d6c509d866d80
CCTV1,http://152.67.213.131:50001/TVOD/6000000001000029752/wasusyt/index.m3u8
CCTV1,http://152.67.213.131:50001/TVOD/1000000001000018602/ystenlive/index.m3u8
CCTV1,http://152.67.213.131:50001/TVOD/5000000004000002226/bestzb/index.m3u8
CCTV1,http://152.67.213.131:50001/TVOD/1000000005000265001/ystenlive/index.m3u8
CCTV1,http://152.67.213.131:50001/TVOD/5000000010000030810/bestzb/index.m3u8
CCTV1,http://152.67.213.131:50001/TVOD/1000000001000021973/ystenlive/index.m3u8
CCTV2,http://152.67.213.131:50001/TVOD/6000000001000014161/wasusyt/index.m3u8
CCTV2,http://152.67.213.131:50001/TVOD/1000000001000023315/ystenlive/index.m3u8
CCTV2,http://152.67.213.131:50001/TVOD/5000000011000031101/bestzb/index.m3u8
CCTV2,http://152.67.213.131:50001/TVOD/1000000005000265002/ystenlive/index.m3u8
CCTV2,http://152.67.213.131:50001/TVOD/1000000001000012442/ystenlive/index.m3u8
CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV2,http://39.134.65.175/PLTV/88888888/224/3221225599/1.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV2,http://39.170.52.236:808/hls/2/index.m3u8
CCTV2,http://58.254.14.232:808/hls/2/index.m3u8
CCTV2,http://114.104.171.233:20080/hls/2/index.m3u8
CCTV2,http://36.32.174.67:60080/newlive/live/hls/2/live.m3u8
CCTV2,http://dassby.qqff.top:99/live/cctv2高清/index.m3u8
CCTV2,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=FifastbLive&Contentid=5000000005000031113&livemode=1&stbId=yu&mode=1
CCTV2,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=FifastbLive&Contentid=5000000011000031101&livemode=1&stbId=yu&mode=1
CCTV2,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=FifastbLive&Contentid=6000000001000014161&livemode=1&stbId=yu&mode=1
CCTV2,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=FifastbLive&Contentid=1000000001000012442&livemode=1&stbId=yu&mode=1
CCTV2,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=FifastbLive&Contentid=1000000001000023315&livemode=1&stbId=yu&mode=1
CCTV2,http://218.93.208.172:35455/migu/631780532.m3u8?migutoken=f37996961dda807c76bd64f9a2747f07f7fd95917e411e96a40281fd628bc4000eb7f71344d3bca848bfba138c3988d53652cdbc6fc8225515f1c0e1ea6c8920e7d1e957628a334e765280cc07
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV3,http://39.134.65.175/PLTV/88888888/224/3221225799/1.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
